District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
ENECONS168;ENE;ENDE;WOLOJITA, ENDE;No;No;INDONESIA
DJJCONS3205;DJJ;JAYAPURA;WOLO, JAYAWIJAYA;No;No;INDONESIA
SLR252;KDI;KENDARI;WOLO, KOLAKA;No;No;INDONESIA
SLR187;BUW;BAU BAU;WOLIO, BAU BAU;No;Yes;INDONESIA
SLR186;KDI;KENDARI;WOLASI, KONAWE SELATAN;No;No;INDONESIA
NTB115;BMU;BIMA;WOJA, DOMPU;No;No;INDONESIA
NTB114;BMU;BIMA;WOHA, BIMA;No;No;INDONESIA
JTM644;BLI;BLITAR;WLINGI, BLITAR;No;Yes;INDONESIA
JTM643;SUB;SURABAYA;WIYUNG, SURABAYA;No;Yes;INDONESIA
SLR185;KDI;KENDARI;WIWIRANO, KONAWE UTARA;No;No;INDONESIA
NTT293;LKA;LARANTUKA;WITIHAMA, FLORES TIMUR;No;Yes;INDONESIA
PAP314;WMX;WAMENA;WITA WAYA, JAYAWIJAYA;No;No;INDONESIA
SLT157;MOH;MOROWALI;WITA PONDA, MOROWALI;No;Yes;INDONESIA
GROAB312;GRO;GROBOGAN;WIROSARI, GROBOGAN;No;No;INDONESIA
DIY77;JOG;JOGJAKARTA;WIROBRAJAN, YOGYAKARTA;No;Yes;INDONESIA
WMXCONS2308;WMX;WAMENA;WIRINGGAMBUT, LANNY JAYA;No;No;INDONESIA
JTG562;PKL;PEKALONGAN;WIRADESA, PEKALONGAN;No;Yes;INDONESIA
JTM642;PSR;PASURUAN;WINONGAN, PASURUAN;No;Yes;INDONESIA
JTG561;PTI;PATI;WINONG, PATI;No;Yes;INDONESIA
JTG560;MGL;MAGELANG;WINDUSARI, MAGELANG;No;Yes;INDONESIA
DJJCONS2259;DJJ;JAYAPURA;WINDESI, KEPULAUAN YAPEN;No;No;INDONESIA
PBR203;DJJ;JAYAPURA;WINDESI, TELUK WONDAMA;No;No;INDONESIA
PAP312;WMX;WAMENA;WINA, TOLIKARA;No;No;INDONESIA
SOQCONS1300;SOQ;SORONG;WILHEM ROUMBOUTS, TAMBRAUW;No;No;INDONESIA
JTM641;CCX;NGANJUK;WILANGAN, NGANJUK;No;Yes;INDONESIA
NAD286;TXE;TAKENGON;WIH PESAM, BENER MERIAH;No;Yes;INDONESIA
JTM640;NGW;NGAWI;WIDODAREN, NGAWI;No;Yes;INDONESIA
JBR625;IYU;INDRAMAYU;WIDASARI, INDRAMAYU;No;Yes;INDONESIA
JTM639;TUB;TUBAN;WIDANG, TUBAN;No;Yes;INDONESIA
ABUCONS131;ABU;ATAMBUA;WEWIKU, MALAKA;No;No;INDONESIA
NTT291;TMC;WAIKABUBAK;WEWEWA UTARA, SUMBA BARAT DAYA;No;Yes;INDONESIA
NTT290;TMC;WAIKABUBAK;WEWEWA TIMUR, SUMBA BARAT DAYA;No;Yes;INDONESIA
NTT289;TMC;WAIKABUBAK;WEWEWA TENGAH, SUMBA BARAT DAYA;No;Yes;INDONESIA
NTT288;TMC;WAIKABUBAK;WEWEWA SELATAN, SUMBA BARAT DAYA;No;Yes;INDONESIA
NTT287;TMC;WAIKABUBAK;WEWEWA BARAT, SUMBA BARAT DAYA;No;Yes;INDONESIA
ENECONS167;ENE;ENDE;WEWARIA, ENDE;No;No;INDONESIA
MLK108;AMQ;AMBON;WETAR UTARA, MALUKU BARAT DAYA;No;No;INDONESIA
MLK107;AMQ;AMBON;WETAR TIMUR, MALUKU BARAT DAYA;No;No;INDONESIA
AMQCONS1042;AMQ;AMBON;WETAR SELATAN, MALUKU BARAT DAYA;No;No;INDONESIA
